unique_identifier,location_name,address_line1,address_line2,address_line3,address_city,address_county,address_post_code,country,ladnm,lsoa21,lsoa21nm,defibrillators_availability,defibrillators_access_type,lat,long,county
D29F78AC-2399-4AA5-B20B-AF3100F30F74,St Peters Pavilion,St Peters Pavilion,Hurst Street,,Hindley,Wigan,WN2 3DN,England,Wigan,E01006272,Wigan 013C,24/7 Access,Public,53.5370081,-2.5858243,Greater Manchester
85587FE9-DB4A-48C4-B84D-B1D3009AF19A,Kildare Grange,Kildare Grange,11 Sutherland Street,,Hindley,Wigan,WN2 3JD,England,Wigan,E01006269,Wigan 013A,24/7 Access,Restricted,53.5332,-2.58401,Greater Manchester
EEDAA58A-9C46-4D91-ABE3-AF7F00D9C5AF,Ellesmere Inn,The Ellesmere Inn,32 Lancaster Road Hindley,Wigan,Hindley,Wigan,WN2 3NJ,England,Wigan,E01006275,Wigan 016C,24/7 Access,Public,53.53620529,-2.57112002,Greater Manchester
DEB023CF-8EA7-47C8-879C-B22C010424D3,Bickershaw Ce Primary,Bickershaw Church Of England Primary School,Bickershaw Lane,Bickershaw,Bickershaw,Wigan,WN2 4AE,England,Wigan,E01006329,Wigan 026E,Varied Access,Restricted,53.5116,-2.55943,Greater Manchester
EDB50FE1-C00A-40C8-89FC-B02300A49519,,Castle Hill St Philips Church Of England Primary School,Hereford Road,,Hindley,Wigan,WN2 4DH,England,Wigan,E01006273,Wigan 013D,Varied Access,Restricted,53.53903,-2.56415,Greater Manchester
3A9FF6D6-82BB-4CB9-8F97-AE2800A8FED1,Castle Hill St Philips Primary School,Castle Hill St Philips Primary School,Hereford Road,,Hindley,Wigan,WN2 4DH,England,Wigan,E01006273,Wigan 013D,Varied Access,Restricted,53.53907,-2.56538,Greater Manchester
54DADBA4-4743-4461-9428-B236011541A8,Sacred Heart Catholic Primary School,Swan Lane,,,Hindley Green,Wigan,WN2 4HD,England,Wigan,E01006285,Wigan 019E,Varied Access,Restricted,53.52706146,-2.54807687,Greater Manchester
29D026E3-51D2-4DCF-8EFF-B2E500948626,Hindley Leisure Centre,Mornington Road,Hindley,Wigan,Hindley,Wigan,WN2 4LG,England,Wigan,E01006286,Wigan 016E,Varied Access,Restricted,53.5322,-2.56097,Greater Manchester
394FB6F4-916E-44AE-A3C7-B45900995D2E,Outwood Academy Hindley,Outwood Academy Hindley,Mornington Road,,Hindley,Wigan,WN2 4LG,England,Wigan,E01006286,Wigan 016E,Varied Access,Restricted,53.5323,-2.56342,Greater Manchester
DAD03D4F-EBF4-4D98-A818-B459009AD063,Outwood Academy Hindley,Outwood Academy Hindley,Mornington Road,,Hindley,Wigan,WN2 4LG,England,Wigan,E01006286,Wigan 016E,Varied Access,Restricted,53.5323,-2.56342,Greater Manchester
